0.000,3.422,
0.067,3.361,-1.284
0.100,3.306,-0.913
0.133,3.300,-0.690
0.167,3.260,-1.342
0.200,3.211,-1.266
0.234,3.175,-1.000
0.267,3.144,-0.963
0.300,3.111,-1.147
0.334,3.068,-1.035
0.367,3.042,-0.829
0.400,3.012,-0.886
0.434,2.983,-0.821
0.467,2.957,-0.796
0.500,2.929,-1.102
0.534,2.884,-1.428
0.567,2.834,-1.159
0.601,2.807,-0.973
0.634,2.769,-0.857
0.667,2.749,-0.766
0.701,2.718,-0.985
0.734,2.684,-1.180
0.767,2.639,-1.366
0.801,2.592,-1.366
0.834,2.548,-1.407
0.868,2.499,-1.387
0.901,2.456,-1.180
0.934,2.420,-1.159
0.968,2.378,-1.180
1.001,2.341,-1.304
1.034,2.291,-1.325
1.068,2.253,-1.532
1.101,2.189,-1.563
1.134,2.148,-1.304
1.168,2.102,-1.252
1.201,2.065,-1.221
1.235,2.021,-1.262
1.268,1.981,-1.345
1.301,1.931,-1.283
1.335,1.895,-1.035
1.368,1.862,-0.890
1.401,1.836,-0.849
1.435,1.805,-0.810
1.468,1.782,-0.914
1.502,1.744,-1.103
1.535,1.708,-0.950
1.568,1.681,-1.201
1.602,1.628,-0.794
1.635,1.628,-0.631
1.668,1.586,-1.336
1.702,1.539,-1.400
1.735,1.492,-1.549
1.768,1.435,-1.131
1.802,1.417,-1.034
1.835,1.366,-0.977
1.869,1.352,-0.773
1.902,1.315,-1.043
1.935,1.282,-1.016
1.969,1.247,-1.027
2.002,1.213,-1.107
2.035,1.173,-0.724
2.069,1.165,-0.826
2.102,1.118,-1.156
2.135,1.088,-1.049
2.169,1.048,-1.069
2.202,1.017,-0.948
2.236,0.985,-1.135
2.269,0.941,-1.095
2.302,0.912,-1.183
2.336,0.862,-1.780
2.369,0.793,-1.966
2.402,0.731,-1.526
2.436,0.691,-0.979
2.469,0.665,-0.834
2.502,0.635,-1.051
2.536,0.595,-1.324
2.569,0.547,-1.362
2.603,0.504,-1.256
2.636,0.463,-1.243
2.669,0.421,-1.150
2.703,0.386,-1.259
2.736,0.337,-1.238
2.769,0.304,-1.193
2.803,0.258,-1.410
2.836,0.210,-1.439
2.870,0.162,-1.192
2.903,0.130,-1.125
2.936,8.665E-2,-1.485
2.970,3.109E-2,
